slug,name,weight,crystal,hourMarkers,hands,glassTreatment,dialFinish,waterResistance,caseThickness,caseMaterial,bezel,bracelet,clasp,lume
land-dweller-white-essential,"Rolex — Land-Dweller — White Dial - Essential",,,,,,,,,,,,,
oyster-perpetual-41-black-essential,"Rolex — Oyster Perpetual 41 — Black Dial - Essential",,,,,,,,,,,,,
oyster-perpetual-41-blue-essential,"Rolex — Oyster Perpetual 41 — Blue Dial - Essential",,,,,,,,,,,,,
oyster-perpetual-41-green-essential,"Rolex — Oyster Perpetual 41 — Green Dial - Essential",,,,,,,,,,,,,
oyster-perpetual-41-grey-essential,"Rolex — Oyster Perpetual 41 — Grey Dial - Essential",,,,,,,,,,,,,
sky-dweller-rosegold-essential,"Rolex — Sky-Dweller — Rose Gold - Essential",,,,,,,,,,,,,
sky-dweller-steel-essential,"Rolex — Sky-Dweller — Steel - Essential",,,,,,,,,,,,,
submariner-black-no-date-essential,"Rolex — Submariner No Date — Black Dial",,,,,,,,,,,,,
submariner-black-date-essential,"Rolex — Submariner Date — Black Dial - Essential",,,,,,,,,,,,,
submariner-bluesy-essential,"Rolex — Submariner Date — Bluesy - Two-Tone Blue/Gold",,,,,,,,,,,,,
submariner-date-black-dial,"Rolex — Submariner Date — Black Dial",,,,,,,,,,,,,
submariner-date-blue-dial,"Rolex — Submariner Date — Blue Dial",,,,,,,,,,,,,
submariner-hulk-essential,"Rolex — Submariner Date — Hulk - Green Dial & Bezel",,,,,,,,,,,,,
submariner-label-noir-essential,"Rolex — Submariner Date — Label Noir - All-Black Edition",,,,,,,,,,,,,
submariner-smurf-essential,"Rolex — Submariner Date — Smurf - Blue Dial & Bezel",,,,,,,,,,,,,
submariner-starbucks-essential,"Rolex — Submariner Date — Starbucks - Green Dial, Black Bezel",,,,,,,,,,,,,
yacht-master-silver-essential,"Rolex — Yacht-Master 40 — Silver Dial - Essential",,,,,,,,,,,,,
yacht-master-steel-essential,"Rolex — Yacht-Master 40 — Steel - Essential",,,,,,,,,,,,,
